respondent_id,country,years_experience,projects_contributed,ai_frequency,ai_purposes,disclosure,aware,perceived_stance,reaction,support_reasons,oppose_reasons,behavior_change,comments
11,Germany (DE),> 10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute,,I continued contributing as before,
12,Canada (CA),1-3 years,4-6 projects,Often (30–70%),Generating code from scratch;Debugging / understanding existing code;Writing documentation,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase,,"I continued contributing, but I now disclose my AI use",
13,France (FR),4-10 years,7-10 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing documentation;Learning a new codebase before contributing,Never disclose,No,,,,,,"I don't read the rules, because it doesn't make any difference whether the AI or I write the code. I’m responsible for the code I put in the PR. If I make a PR with this code, it’s because I think it’s good. I don’t see the point in mentioning that this code was generated by AI; I don’t mention it when a linter helps me, so I don’t see why I’d say it when an AI helps with the code."
14,Germany (DE),> 10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,"Policies ensure AI-generated contributions meet quality standards;Policies protect human effort from being overshadowed by mass AI submissions;I take an even stronger stance. I would not trust contributions who are not AI aided -- this will become the norm in the future and what is required to achieve high-quality standards. However, this does not mean that the human had little effort put in a contribution. It can be several hours and sometimes days of human work depending on the contribution.",,I continued contributing as before,"Here a few thoughts:

What is for me important is the quality of the submission, regardless of human or AI generated. This means: the contribution should be adequately justified (just because an AI can write a lot of code, it does not mean that any contribution makes sense; there need to be strict filtering criteria on what is considered a helpful contribution and what just pure code spamming), should be adequately documented in the description and code-comments, and the code should be clean (avoid avalanche of code; understand and respect the eco-system of functions in a codebase, etc). It turns out that as of today, AI generated contributions without humans in the loop are by far not reaching the quality standard, yet. 

Until open-source projects are maintained by humans, any contribution to these projects need to be tailored such that it is digestible by a human maintainer. If in the future there will be a proliferation of open source projects maintained mostly by agents, I think we could change many of the rules for the contributions, in particular, it is no longer as compelling that the description of a contribution is written in a clean prose accessible to humans; even terse and verbose prose could be considered as acceptable.

Good luck!
Andrea"
15,Caribbean Netherlands (BQ),4-10 years,> 10 projects,Most of the time (more than 70%),Completing boilerplate / repetitive code,Rarely disclose,No,,,,,,asdadasdad
16,Germany (DE),4-10 years,4-6 projects,Never,,,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code,,I continued contributing as before,
17,Germany (DE),> 10 years,4-6 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Debugging / understanding existing code;Writing documentation,Always disclose,No,,,,,,
18,India (IN),< 1 year,Up to 3 projects,Sometimes (10–30%),Debugging / understanding existing code;Writing documentation;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
19,India (IN),1-3 years,Up to 3 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Learning a new codebase before contributing,Sometimes disclose (depends on the project),No,,,,,,"In my opinion, having AI contribution policy actually helps in adopting AI properly without losing trust with community."
20,Hong Kong SAR China (HK),4-10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Writing documentation;Learning a new codebase before contributing,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
21,Finland (FI),> 10 years,> 10 projects,Most of the time (more than 70%),"Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Learning a new codebase before contributing;Multiple different reviews (for bad practices / broken places, edge cases etc)",Never disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat opposed it,,"Policies restrict my productivity by limiting AI tools I can use;Policies are hard to enforce fairly and may be applied inconsistently;AI evolves fast, so policies quickly become outdated or counterproductive",I switched to contributing to other projects without such policies,
22,Germany (DE),4-10 years,4-6 projects,Sometimes (10–30%),Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use",
23,India (IN),1-3 years,Up to 3 projects,Often (30–70%),Completing boilerplate / repetitive code;Writing tests;Writing documentation;Translating code between languages,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
24,United Kingdom (GB),> 10 years,> 10 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Writing documentation;Translating code between languages,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;I wrote the AI policies in the projects I contributed to,,I continued contributing as before,all projects I contribute to are my own with permissive policies where AI can be used and is encouraged to be disclosed
25,United States (US),> 10 years,7-10 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly opposed it,,"AI is garbage, worsening every project it infects",I continued contributing as before,
26,Switzerland (CH),4-10 years,> 10 projects,Rarely (less than 10% of my PRs involve AI),Debugging / understanding existing code;Learning a new codebase before contributing,Always disclose,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback;Strict no LLM/AI policies allow me to close low-effort PRs with equal effort,,I continued contributing as before,
27,China (CN),1-3 years,4-6 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Learning a new codebase before contributing,Rarely disclose,No,,,,,,
28,United States (US),1-3 years,4-6 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Writing documentation,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,"If a project has a policy against it, I don't use AI tools."
29,China (CN),> 10 years,> 10 projects,Most of the time (more than 70%),Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I reduced my contributions to this project,
30,United States (US),> 10 years,> 10 projects,Never,,,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute,,I continued contributing as before,
31,Germany (DE),4-10 years,7-10 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Clear AI rules increase my trust in the project's codebase,,....,
32,Germany (DE),> 10 years,> 10 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat opposed it,,"all AI use we see is spammy or low quality, I'd rather ban it",I continued contributing as before,"Your survey responses only cover AI users really, not ppl rejecting the use of AI"
33,France (FR),> 10 years,> 10 projects,Sometimes (10–30%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Writing documentation;Translating code between languages,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
34,Spain (ES),4-10 years,Up to 3 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Learning a new codebase before contributing,Sometimes disclose (depends on the project),No,,,,,,
35,India (IN),4-10 years,> 10 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,"I continued contributing, but I stopped using AI tools for this project",
36,China (CN),4-10 years,> 10 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code,Sometimes disclose (depends on the project),No,,,,,,
37,Brazil (BR),4-10 years,Up to 3 projects,Most of the time (more than 70%),Completing boilerplate / repetitive code;Writing documentation;Translating code between languages,Never disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards,,I continued contributing as before,
38,Spain (ES),> 10 years,> 10 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I continued contributing as before,
39,Germany (DE),4-10 years,4-6 projects,Rarely (less than 10% of my PRs involve AI),Completing boilerplate / repetitive code;Debugging / understanding existing code,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase,,I continued contributing as before,
40,Kenya (KE),1-3 years,7-10 projects,Sometimes (10–30%),Completing boilerplate / repetitive code;Debugging / understanding existing code;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
41,Armenia (AM),1-3 years,4-6 projects,Sometimes (10–30%),Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages,Sometimes disclose (depends on the project),Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,"In reality, I spend more time developing my own projects, and I often see people showing up with code generated using AI.

Very often, people simply give a task to an AI agent and do not even look at the resulting code - they only check whether it works. The agent does not even try to produce code that follows the project's standards. It frequently makes highly questionable decisions that look more like hacks than the intended behavior.

Working with such contributors becomes very difficult because I maintain my projects alone, and I do not have enough free time after work to explain to every person what is wrong with their code.

I even had an experience where I started communicating with such a contributor and helping improve their pull request. They would simply pass my comments to the AI agent and then submit another batch of strange code. Eventually, it got to the point where I just said: ""Delete everything you did here and paste in this code that I wrote.""

I eventually made it a rule that if a pull request was created with the help of AI, I will not review it and will close it immediately.

I think it mostly comes down to how invested the author is in their project. For me, it is much more important to understand the code and keep it clean than to add a bunch of strange features through AI. A friend of mine, on the other hand, created a project where all code is added exclusively through AI. He does not really understand any of it himself, and if his AI agent were taken away, he would not be able to maintain the project for very long until he learned how it actually works."
42,United States (US),< 1 year,4-6 projects,Never,,,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code,,I continued contributing as before,
43,India (IN),4-10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Always disclose,No,,,,,,
44,United Kingdom (GB),4-10 years,Up to 3 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I continued contributing as before,"I think the AI policies I've interacted with should also prohibit PR description generated by AI, to at least get some idea that the contributor has some idea of what's going on.
Failure to do so should just result in a permaban, there is enough slop as it is."
45,India (IN),4-10 years,> 10 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I continued contributing as before,"Assistance or not, the code that ships carries my name, I own it, I'm responsible for it."
46,India (IN),1-3 years,4-6 projects,Often (30–70%),Completing boilerplate / repetitive code;Writing documentation;Learning a new codebase before contributing,Never disclose,Yes,Prohibit — AI-generated content is not allowed,Somewhat opposed it,,Policies restrict my productivity by limiting AI tools I can use;Policies are hard to enforce fairly and may be applied inconsistently,"I continued contributing, but I stopped using AI tools for this project","My response may not be well written, but I think as long as it is not some sloppy code that we see and the person understands it, there's no problem."
47,India (IN),1-3 years,4-6 projects,Often (30–70%),Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies clarify what is acceptable before I contribute;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,"I kind off support the AI use, only when I person has a proper idea about the codebase"
48,Turkey (TR),4-10 years,Up to 3 projects,Rarely (less than 10% of my PRs involve AI),Writing tests;Debugging / understanding existing code;Writing documentation,Always disclose,No,,,,,,
49,United States (US),4-10 years,> 10 projects,Rarely (less than 10% of my PRs involve AI),Writing tests;Debugging / understanding existing code;Learning a new codebase before contributing,Always disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,"I think this survey has a very broad view on what constitutes AI policy, and can miss nuances with the provided options. “Do you support or oppose policies” is not a question I can answer easily without getting into the shape of the policy."
50,New Zealand (NZ),4-10 years,> 10 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,"I continued contributing, but I now disclose my AI use",
51,India (IN),4-10 years,4-6 projects,Never,,,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions,,I continued contributing as before,"In my opinion, projects should enforce submitting changes in a series of patches/microcommits which are more easily reviewable than just providing a huge diff across a vast codebase. Additionally, I find AGENTS.md and other AI related docs stuff to be helpful in navigating a new project even if I don't use any AI tools. I believe that contributions, no matter whether they come from a human or a bot, should be aligned to coding conventions and make the life easier for the maintainers for a fast merge cycle and less burdening.

So rather than focusing on AI specific contribution guidelines, I would prefer just having good contribution guidelines and documentation for everyone in the community."
52,France (FR),1-3 years,Up to 3 projects,Rarely (less than 10% of my PRs involve AI),Translating code between languages;AI helps me sometimes to structure my code,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
53,China (CN),4-10 years,> 10 projects,Most of the time (more than 70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use",
54,France (FR),4-10 years,> 10 projects,Never,,,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies protect human effort from being overshadowed by mass AI submissions,,I continued contributing as before,
55,United States (US),> 10 years,> 10 projects,Never,,,Yes,Prohibit — AI-generated content is not allowed,Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,
56,India (IN),1-3 years,4-6 projects,Often (30–70%),Generating code from scratch;Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I started Contributed more because using AI i could do things faster.. faster test runs , understanding code , problems etc",
57,India (IN),1-3 years,Up to 3 projects,Most of the time (more than 70%),Completing boilerplate / repetitive code;Writing tests;Debugging / understanding existing code;Writing documentation;Translating code between languages;Learning a new codebase before contributing,Sometimes disclose (depends on the project),Yes,Permissive — AI-generated content is allowed (with or without conditions),Neutral,,,I continued contributing as before,"AI contribution policy is a must have for modern open-source projects. Although we should not restrict ourselves with AI , it helps us to be more productive. I do believe though that AI should be used responsibly and every line of code should be reviewed by self before making a contribution to a project."
58,Iraq (IQ),1-3 years,4-6 projects,Sometimes (10–30%),Debugging / understanding existing code;Translating code between languages;Learning a new codebase before contributing,Rarely disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Somewhat supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Policies protect human effort from being overshadowed by mass AI submissions;Clear AI rules increase my trust in the project's codebase;Policies help prevent license incompatibilities from AI-generated code;Knowing which parts are AI-assisted helps reviewers give better feedback,,I continued contributing as before,"I would love to become a part of any research paper or white paper being built on scalable and well distributed systems including AI compatibility, Networking and cloud integrity for Data processing."
59,France (FR),> 10 years,7-10 projects,Often (30–70%),Generating code from scratch;Writing documentation;Translating code between languages,Often disclose,Yes,Permissive — AI-generated content is allowed (with or without conditions),Strongly supported it,Policies ensure AI-generated contributions meet quality standards;Policies clarify what is acceptable before I contribute;Policies make it easier to trace and review AI-assisted contributions;Knowing which parts are AI-assisted helps reviewers give better feedback,,"I continued contributing, but I now disclose my AI use",
