respondent_id,country,years_experience,projects_maintained,stance,rationale_prohibit,rationale_allow,conditions,has_policy,expected_outcomes,change_prs_submitted,change_ai_prs_submitted,change_low_quality_prs,change_code_quality_merged,change_review_workload,change_merge_latency,change_first_comment_latency,change_closure_latency,change_new_contributors,change_community_engagement,compliance,enforcement_methods,difficulties,comments
17,China (CN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards,No,,,,,,,,,,,,,,,"We view AI as a tool and are generally open to its use in contributions. However, the final responsibility for the submitted code, including understanding the implementation, verifying its behavior, testing it properly, and addressing any follow-up issues, must remain with the contributor. AI assistance does not lower the project’s standards for code quality, maintainability, security, or licensing compliance. Correspondingly, maintainers may also use AI tools to help with initial PR review, testing, summarization, or identifying potential issues, but final review decisions remain the responsibility of the maintainers."
18,Ukraine (UA),4-10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Intellectual property and licensing concerns;Concerns about security vulnerabilities introduced via AI-generated code,,,No,,,,,,,,,,,,,,,
19,Spain (ES),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no)",No,,,,,,,,,,,,,,,"I have the normal CONTRIBUTION.md without AI mention, but good point, maybe I will go to update it"
20,United States (US),> 10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately,,,No,,,,,,,,,,,,,,,"If I can tell it's AI generated, I would probably reject the contribution."
21,India (IN),1-3 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must be supplemented with prompts/tests",No,,,,,,,,,,,,,,,
22,United States (US),> 10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately,,,No,,,,,,,,,,,,,,,"We have a small-print clause in contribution guidelines which prohibits AI generated content.  That said, in practice we tolerate AI assisted contributions as long as they can be converged to acceptable shape with a reasonable effort.  We have observed an increase in poorly prepared, off-topic, and outright nonsensical contributions which are easy to prepare with IDE-s integrated AI tools.  Sometimes they look superficially correct and it takes human time and effort to assess and handle them.  Another frustrating part is that their authors tend to use AI generated responses rather than truly engaging with the maintainers and giving an appropriate thought and care to their work."
23,France (FR),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic)",No,,,,,,,,,,,,,,,
24,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards,No,,,,,,,,,,,,,,,If it's following code generation according to the needs and demande then it's alright.
25,Japan (JP),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;Allowing AI attracts more contributors,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards,No,,,,,,,,,,,,,,,We document to follow the guide from the CNCF at https://www.linuxfoundation.org/legal/generative-ai
26,Poland (PL),> 10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,Prohibiting AI use is impractical to enforce;Community consensus to allow,AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards,No,,,,,,,,,,,,,,,"Just because we don't have an AI policy it doesn't mean I don't deal with AI contributions. My biggest project (900 stars, 3k weekly views) is maintained mostly by me and two other people. It's consumed by the community who is demanding of ever more feature requests and bug fixes, with almost no people in sight that contribute code. The few that do, usually use AI. I review all these changes line by line the oldschool way. This is scalable… but only because my teams delivers enough that no one ""needs"" to step up, which in itself, is NOT scalable, and a source of burnout."
27,Australia (AU),4-10 years,> 15 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Difficult to verify AI-generated code quality,,,No,,,,,,,,,,,,,,,"Most of my projects are quite small, and so specific policies are not required. Generally I do not accept AI-generated contributions, and explain this to any contributors who attempt to contribute AI-generated contributions."
28,Nigeria (NG),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
29,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI-generated code can be high quality when properly reviewed;You can't stop people from using AI,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,"I am seeing lots of AI slop pull requests, where people even before discussing open random pull requests.

And review of PRs to make sure they are good quality takes lots of time."
30,Germany (DE),4-10 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Intellectual property and licensing concerns;Concerns about security vulnerabilities introduced via AI-generated code;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately;Community consensus to prohibit;Issues with AI ethics,,,Yes,Reduce review burden by filtering out low-quality PRs;Ensure contributors understand and take responsibility for submitted code;Protect the project from legal or IP risks;Block spam or low-effort AI-generated contributions;Set expectations for new contributors;Signal to other projects that banning AI is a possibility,Increased somewhat,Decreased a lot,No change,No change,No change,No change,No change,No change,Increased somewhat,Increased somewhat,Fully followed,"Reviewers check for AI use during code review;Contributors must sign/acknowledge the policy before submitting (e.g., CLA, PR checklist);The policy specifies consequences for violations (e.g., PR rejection, temporary ban);Community members can flag suspected policy violations",Hard to detect whether a contribution is AI-generated,
31,United States (US),> 10 years,6-10 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Security risks from AI-generated vulnerabilities;Intellectual property and licensing concerns;Concerns about security vulnerabilities introduced via AI-generated code;Difficult to verify AI-generated code quality;Maintainer bandwidth is too limited to review AI-generated PRs adequately,,,Yes,Reduce review burden by filtering out low-quality PRs;Block spam or low-effort AI-generated contributions,No change,No change,No change,No change,No change,No change,No change,No change,No change,No change,Not followed at all,Reviewers check for AI use during code review;Compliance relies on contributors' self-reporting and good faith,Contributors unwilling to disclose AI use;Lack of tools or processes to verify compliance;People do not read the policy before submitting contributions,
32,Sri Lanka (LK),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;We trust contributors to use AI responsibly;AI tools help lower the barrier for new contributors,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,"Because we're working in a linguistic space, not a software space, AI allows non-programmers or inexperienced programmers who are highly skilled in the grammar and etymology to express complex linguistic ideas as code. Without AI this would simply not happen."
33,Italy (IT),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
34,China (CN),4-10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
35,United States (US),4-10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Allowing AI attracts more contributors;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
36,Luxembourg (LU),> 10 years,6-10 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Prohibiting AI use is impractical to enforce,Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style;AI-generated contribution shouldn't be big chunk on rewrite unreviewable by a human,No,,,,,,,,,,,,,,,
37,Canada (CA),> 10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;Only certain AI tools are permitted (e.g., coding assistants yes, autonomous agents no);AI-generated content must follow project rules/guides on how AI tools may be used (e.g., allowed use cases, prohibited outputs);AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,
38,Denmark (DK),1-3 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,"I don’t accept contributions anymore. I only accept prompts for AI to generate the code. Everything is generated by AI, so I don’t accept handwritten code or AI-generated code.",,,No,,,,,,,,,,,,,,,"I’ll repeat the previous one: I don’t accept contributions at all, including pull requests. I only accept issues with a prompt I can run myself that will generate the code for the pull request.

I have a full harness, a multi-agent framework, policies, guardrails, and so on. By reviewing the prompt and trusting my coding harness, I get the result I want."
39,Russia (RU),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Prohibiting AI use is impractical to enforce;AI tools help lower the barrier for new contributors,AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,
40,France (FR),1-3 years,Up to 5 projects,Prohibit — AI-generated content is not allowed,AI-generated code is often low-quality or contains errors;Intellectual property and licensing concerns;Difficult to verify AI-generated code quality,,,No,,,,,,,,,,,,,,,"IA is a tool... But the contribution I get on my repo seems fully generated by an agent.

After consideration of licensing etc ... It creates weird situation on a PR ...

* Author of the PR don't have the basics of creating a PR (make sure automated CI test are passing, answering to feedback, don't squash all your modification in one commit ...)
* They don't have the knowledge of the code base THEY published.
* Code contribution do not follow existing code logic
* Solution are often over-complicated.

I only have one known repo ... So I guess it's not that bad."
41,India (IN),1-3 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,We trust contributors to use AI responsibly;Prohibiting AI use is impractical to enforce,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must adhere to the project's existing coding style,No,,,,,,,,,,,,,,,"AI, when used well is good. But its not ready to be fully trusted. Major changes made with AI will make future scaling difficult as most of the AI's focus on what it was asked to do, it doesn't take into account of the existing code. Anyone using AI should take into account of what has not been by making sure the code connects properly with main logic and is scalable and reliable. I am against fully ""Vibe Coding"" a project, personally I only use AI for receiving advice and rarely use it for code generation."
42,United Kingdom (GB),> 10 years,Up to 5 projects,Permissive — AI-generated content is allowed (with or without conditions),,AI tools can improve contributor productivity;AI-generated code can be high quality when properly reviewed;Allowing AI attracts more contributors;AI tools help lower the barrier for new contributors;Community consensus to allow;I'm not writing code manually,AI-generated contributions must undergo manual review;AI-generated contributions must meet quality standards;AI-generated content must be supplemented with prompts/tests;AI-generated content must adhere to the project's existing coding style;that someones actually guiding the agent and really running the code and responding to feedback,No,,,,,,,,,,,,,,,
43,Serbia (RS),4-10 years,> 15 projects,Permissive — AI-generated content is allowed (with or without conditions),,Prohibiting AI use is impractical to enforce,"AI-generated contributions must undergo manual review;Contributors must explicitly disclose that AI tools were used;AI-generated contributions must meet quality standards;AI should only be used for specific types of work (e.g., documentation, tests, but not core logic);AI-generated content must adhere to the project's existing coding style",No,,,,,,,,,,,,,,,All projects should have one
